start	end	kind	owner	instructions	calls
97bb7df8	97bb7e10	table	TGenericLinker::BuildSymbolTableList	6	
97bb7e7c	97bb7efc	switch-code	TGenericLinker::BuildSymbolTableList	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb89b0	97bb8a30	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb8ae4	97bb8b64	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb8bc8	97bb8c48	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb8cac	97bb8d2c	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb8d90	97bb8e10	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb8e74	97bb8ef4	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb8f78	97bb8ff8	switch-code	TGenericLinker::link	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb9a98	97bb9ad8	table	getOpenGLTypeFromTType	16	
97bba644	97bba684	table	ParseSymbol::ResolveOpenGLType	16	
97bbbe84	97bbbed4	table	ParseOperand::isWriteable	20	
97bbf668	97bbf688	table	TIntermUnary::compileNode	8	
97bc0090	97bc0320	table	TIntermAggregate::compileNode	164	
97bc03e0	97bc0670	table	TIntermAggregate::compileNode	164	
97bc0f08	97bc0f50	table	TIntermAggregate::compileNode	18	
97bc0f98	97bc1000	table	TIntermAggregate::compileNode	26	
97bc7900	97bc7934	table	TPPStreamCompiler::constructFromOperand	13	
97bcc76c	97bcc7a0	table	GetChunkForSymbol	13	
97bcdcb0	97bcdcd0	table	_InterpreterTestCR	8	
97bd059c	97bd0760	table	_InterpreterEmulateOp	113	
97bd35f8	97bd35fc	millicode	_InterpreterTextureSamplerInitialise	1	
97bd3c20	97bd3c28	other	_InterpreterTextureSamplerSampleTexel3D	2	
97bd58b8	97bd58bc	millicode	_InterpreterNoiseGeneratorInitialise	1	
97bd63b0	97bd63b4	millicode	_InterpreterNoiseGeneratorCalculate3D	1	
97bd6400	97bd6404	millicode	_InterpreterRasterOpMachineInitialise	1	
97bd6470	97bd6490	table	_InterpreterRasterOpMachine_DepthTest	8	
97bd65f8	97bd6618	table	_InterpreterRasterOpMachine_DepthAndStencilTest	8	
97bd6714	97bd6734	table	_InterpreterRasterOpMachine_DepthAndStencilTest	8	
97bd6928	97bd6948	table	_InterpreterRasterOpMachine_AlphaTest	8	
97bd6dc4	97bd6de4	table	_InterpreterRasterOpMachine_AlphaTest	8	
97bd712c	97bd7140	table	_InterpreterRasterOpMachine_Blending	5	
97bd72ec	97bd7300	table	_InterpreterRasterOpMachine_Blending	5	
97bd7608	97bd7630	table	_InterpreterRasterOpMachine_LogicOp	10	
97bd7928	97bd7964	table	_InterpreterRasterOpMachineCalculateBlendingFactors	15	
97bd7bfc	97bd7c1c	table	_InterpreterRasterOpMachineUpdateStencilBuffer	8	
97bdb244	97bdb264	table	_PPCRuntimeCompilerTestConditionRegisterAV	8	
97bdce00	97bdcf70	table	_PPCRuntimeCompilerCompileNO	92	
97bdd300	97bdd32c	table	_PPCRuntimeCompilerCompileNO	11	
97bdd420	97bdd44c	table	_PPCRuntimeCompilerCompileNO	11	
97bdd540	97bdd56c	table	_PPCRuntimeCompilerCompileNO	11	
97bdd660	97bdd68c	table	_PPCRuntimeCompilerCompileNO	11	
97bdfa30	97bdfbf4	table	_PPCRuntimeCompilerCompileAV	113	
97bdfc3c	97bdfe00	switch-code	_PPCRuntimeCompilerCompileAV	113	
97be0670	97be069c	table	_PPCRuntimeCompilerCompileAV	11	
97be0ba8	97be0bd4	table	_PPCRuntimeCompilerCompileAV	11	
97be0fec	97be1018	table	_PPCRuntimeCompilerCompileAV	11	
97be136c	97be1398	table	_PPCRuntimeCompilerCompileAV	11	
97be1c04	97be1c08	millicode	_PPCTextureSamplerInitialise	1	
97be2c54	97be2c58	millicode	_PPCTextureSamplerSampleTexel3DRTCAV	1	
97be4084	97be4088	millicode	_PPCNoiseGeneratorInitialise	1	
97be43b8	97be43bc	millicode	_PPCRasterOpMachineInitialise	1	
97be4468	97be4488	table	_PPCRasterOpMachine_DepthTestRTCAV	8	
97be45dc	97be45fc	table	_PPCRasterOpMachine_DepthAndStencilTestRTCAV	8	
97be4788	97be47a8	table	_PPCRasterOpMachine_DepthAndStencilTestRTCAV	8	
97be4bbc	97be4bdc	table	_PPCRasterOpMachine_AlphaTestRTCAV	8	
97be4e60	97be4e74	table	_PPCRasterOpMachine_BlendingRTCAV	5	
97be4f3c	97be4f50	table	_PPCRasterOpMachine_BlendingRTCAV	5	
97be5108	97be513c	table	_PPCRasterOpMachine_LogicOpRTCAV	13	
97be5338	97be5374	table	_PPCRasterOpMachineCalculateBlendingFactorsRTCAV	15	
97be550c	97be552c	table	_PPCRasterOpMachineUpdateStencilBufferRTCAV	8	
97be56fc	97be5700	millicode	_PPCConstantsAndScratchCreate	1	
97be60cc	97be60e0	table	_glpWriteSizeTypePrecision	5	
97be654c	97be6560	table	_glpWriteSizeType	5	
97be6e14	97be6e6c	switch-code	_glpWriteDestinationOperand_97be6730	22	
97be742c	97be7440	table	_glpWriteSourceOperandType	5	
97be7d18	97be7d44	table	_glpWriteSourceOperandExtendedSwizzle	11	
97be81f8	97be8218	table	_glpWriteBranchOperand	8	
97be8580	97be85a0	table	_glpWriteTextureOperand_97be8478	8	
97be8898	97be8a5c	table	_glpDisassemble1Op	113	
97be8b08	97be8b28	table	_glpDisassemble1Op	8	
97be9a24	97be9aa8	table	_glpDisassemble1Op	33	
97bea03c	97bea074	table	_glpPPDisassemble	14	
97beaef8	97beaf28	table	_glpPPDisassemble	12	
97beb3dc	97beb3f0	table	_glpPPDisassemble	5	
97bebb90	97bebbdc	table	_glpPPDisassemble	19	
97bebddc	97bebdfc	table	_glpPPDisassemble	8	
97bec348	97bec360	table	_glpPPDisassemble	6	
97becad8	97becaf0	table	_glpPPDisassemble	6	
97becf80	97becf94	table	_glpPPDisassemble	5	
97bed6f8	97bed724	table	_glpPPDisassemble	11	
97bee2f4	97bee310	table	_glpPPDisassemble	7	
97bee380	97bee39c	table	_glpPPDisassemble	7	
97bee644	97bee660	table	_glpPPDisassemble	7	
97bee898	97bee8b8	table	_glpPPDisassemble	8	
97beeaf0	97beeb10	table	_glpPPDisassemble	8	
97beed48	97beed68	table	_glpPPDisassemble	8	
97beeffc	97bef018	table	_glpPPDisassemble	7	
97bef248	97bef25c	table	_glpPPDisassemble	5	
97bef3ec	97bef400	table	_glpPPDisassemble	5	
97bef590	97bef5cc	table	_glpPPDisassemble	15	
97bef98c	97bef9c8	table	_glpPPDisassemble	15	
97befd88	97befdc4	table	_glpPPDisassemble	15	
97bf0184	97bf01c0	table	_glpPPDisassemble	15	
97bf05b0	97bf05f0	switch-code	_glpPPDisassemble	16	
97bf0e60	97bf0e90	table	_PPStreamChunkCompare	12	
97bf1fd8	97bf205c	table	_renumberTargets	33	
97bf2640	97bf2670	table	_PPStreamFindDuplicateChunk	12	
97bf38d4	97bf38f4	table	_glpWriteTextureOperand_97bf37b4	8	
97bf3c08	97bf3dcc	table	_glpDisassemble2Op	113	
97c01d24	97c01d54	table	_glpPPShaderToProgramString	12	
97c02210	97c02224	table	_glpPPShaderToProgramString	5	
97c02908	97c02954	table	_glpPPShaderToProgramString	19	
97c02b54	97c02b74	table	_glpPPShaderToProgramString	8	
97c030c0	97c030d8	table	_glpPPShaderToProgramString	6	
97c03850	97c03868	table	_glpPPShaderToProgramString	6	
97c03cf8	97c03d0c	table	_glpPPShaderToProgramString	5	
97c04354	97c04380	table	_glpPPShaderToProgramString	11	
97c05e1c	97c05ea0	table	_AddOpToJumpTable	33	
97c08028	97c08030	other	_BitSetSetSizeEquals	2	
97c08fcc	97c08fe0	table	_GetRegister	5	
97c09d30	97c09d44	table	_RegistersCleanup	5	
97c0a13c	97c0a1c8	table	_InstructionAdd	35	
97c0ac74	97c0acf8	table	_Blockify	33	
97c0adb0	97c0ae34	table	_Blockify	33	
97c0af00	97c0af84	table	_Blockify	33	
97c0b31c	97c0b398	table	_FlattenIfs	31	
97c0b4a4	97c0b4ac	millicode	_FlattenIfs	2	
97c0b74c	97c0b760	table	_GetRegisterTypeInfo	5	
97c0caec	97c0ccb0	table	_EmulateOp	113	
97c0d888	97c0d9c8	table	_EmulateOp	80	
97c0e7dc	97c0e894	table	_EmulateOp	46	
97c0eee8	97c0ef6c	table	_EmulateOp	33	
97c0f018	97c0f074	table	_UpdateScope	23	
97c0fc8c	97c0fd08	table	_UnrollConstantLoopsSimple	31	
97c102ec	97c102f4	other	_instructionIndexHashFunction	2	
97c10924	97c1092c	other	_glpDCBAlloc	2	
97c12020	97c12118	switch-code	_PPParserBuildErrorString	62	
97c12dfc	97c12e00	eh-pad	std::__throw_logic_error	1	__Unwind_Resume
97c12e84	97c12e88	eh-pad	std::__throw_domain_error	1	__Unwind_Resume
