entry	function	register	class	first reader / imports
97ba2da0	__ZN17TSymbolTableLevelD4Ev	r7	PASS-indirect	97ba2df4 bl 0x97c1fc40	; symbol stub for: __ZNSt22_R
97ba2da0	__ZN17TSymbolTableLevelD4Ev	r8	PASS-indirect	97ba2df4 bl 0x97c1fc40	; symbol stub for: __ZNSt22_R
97ba33f0	TSymbolTableLevel::clone	r5	PASS-no	97ba3408 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97ba33f0	TSymbolTableLevel::clone	r6	PASS-no	97ba3408 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97ba33f0	TSymbolTableLevel::clone	r7	PASS-no	97ba3408 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97ba33f0	TSymbolTableLevel::clone	r8	PASS-no	97ba3408 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97badddc	PaParseStrings	r8	PASS-no	97bade18 bl 0x97c1e600	; symbol stub for: _ScanFromS
97badddc	PaParseStrings	r10	PASS-no	97bade18 bl 0x97c1e600	; symbol stub for: _ScanFromS
97bae058	PaReservedWord	r9	PASS-vararg	97bae0a4 bl 0x97c1f1c0	; symbol stub for: __ZN13TPar
97bae058	PaReservedWord	r10	PASS-vararg	97bae0a4 bl 0x97c1f1c0	; symbol stub for: __ZN13TPar
97bae1a8	PaParseComment	r9	PASS-no	97bae1d4 bl __Z7yyinputv
97bae1a8	PaParseComment	r10	PASS-no	97bae1d4 bl __Z7yyinputv
97bae468	_CPPShInfoLogMsg	r10	PASS-vararg	97bae4ac bl 0x97c1f1c0	; symbol stub for: __ZN13TPar
97bae4cc	_CPPErrorToInfoLog	r10	PASS-vararg	97bae514 bl 0x97c1f1c0	; symbol stub for: __ZN13TPar
97bae634	_HandlePragma	r6	PASS-no	97bae668 bl 0x97c1e7e0	; symbol stub for: _memcmp
97bae634	_HandlePragma	r7	PASS-no	97bae668 bl 0x97c1e7e0	; symbol stub for: _memcmp
97bae634	_HandlePragma	r8	PASS-no	97bae668 bl 0x97c1e7e0	; symbol stub for: _memcmp
97bae634	_HandlePragma	r9	PASS-no	97bae668 bl 0x97c1e7e0	; symbol stub for: _memcmp
97baeb80	_GetBehavior	r6	PASS-no	97baebac bl 0x97c1e7e0	; symbol stub for: _memcmp
97baeb80	_GetBehavior	r7	PASS-no	97baebac bl 0x97c1e7e0	; symbol stub for: _memcmp
97baeb80	_GetBehavior	r8	PASS-no	97baebac bl 0x97c1e7e0	; symbol stub for: _memcmp
97baed64	_updateExtensionBehavior	r6	PASS-no	97baed88 bl _GetBehavior
97baed64	_updateExtensionBehavior	r7	PASS-no	97baed88 bl _GetBehavior
97baed64	_updateExtensionBehavior	r8	PASS-no	97baed88 bl _GetBehavior
97baed64	_updateExtensionBehavior	r9	PASS-no	97baed88 bl _GetBehavior
97bb7b4c	TGenericLinker::BuildSymbolTableList	r6	PASS-indirect	97bb7bd4 bctrl 
97bb7b4c	TGenericLinker::BuildSymbolTableList	r7	PASS-indirect	97bb7bd4 bctrl 
97bb7b4c	TGenericLinker::BuildSymbolTableList	r8	PASS-indirect	97bb7bd4 bctrl 
97bb9a20	getOpenGLTypeFromTType	r5	PASS-indirect	97bb9a4c bctrl 
97bb9a20	getOpenGLTypeFromTType	r6	PASS-indirect	97bb9a4c bctrl 
97bb9a20	getOpenGLTypeFromTType	r7	PASS-indirect	97bb9a4c bctrl 
97bb9a20	getOpenGLTypeFromTType	r8	PASS-indirect	97bb9a4c bctrl 
97bba5a8	ParseSymbol::ResolveOpenGLType	r5	PASS-indirect	97bba5e0 bctrl 
97bba5a8	ParseSymbol::ResolveOpenGLType	r6	PASS-indirect	97bba5e0 bctrl 
97bba5a8	ParseSymbol::ResolveOpenGLType	r7	PASS-indirect	97bba5e0 bctrl 
97bba5a8	ParseSymbol::ResolveOpenGLType	r8	PASS-indirect	97bba5e0 bctrl 
97bbc50c	ParseSymbolTable::InsertSingleSymbol	r5	PASS-indirect	97bbc534 bl 0x97c211e0	; symbol stub for: __Z17GetCh
97bbc50c	ParseSymbolTable::InsertSingleSymbol	r6	PASS-indirect	97bbc534 bl 0x97c211e0	; symbol stub for: __Z17GetCh
97bbc50c	ParseSymbolTable::InsertSingleSymbol	r7	PASS-indirect	97bbc534 bl 0x97c211e0	; symbol stub for: __Z17GetCh
97bbc50c	ParseSymbolTable::InsertSingleSymbol	r8	PASS-indirect	97bbc534 bl 0x97c211e0	; symbol stub for: __Z17GetCh
97bbd4c4	ParseSymbolTable::FindFirstElement	r5	PASS-no	97bbd714 bl __ZN16ParseSymbolTable10FindSymbolEP11Pa
97bbd4c4	ParseSymbolTable::FindFirstElement	r6	PASS-no	97bbd714 bl __ZN16ParseSymbolTable10FindSymbolEP11Pa
97bbd4c4	ParseSymbolTable::FindFirstElement	r7	PASS-no	97bbd714 bl __ZN16ParseSymbolTable10FindSymbolEP11Pa
97bbd4c4	ParseSymbolTable::FindFirstElement	r8	PASS-no	97bbd714 bl __ZN16ParseSymbolTable10FindSymbolEP11Pa
97bc4748	TPPStreamCompiler::newIndirectOperandFromConstant	r6	PASS-no	97bc479c bl 0x97c1ea80	; symbol stub for: __Znwm
97bc4748	TPPStreamCompiler::newIndirectOperandFromConstant	r7	PASS-no	97bc479c bl 0x97c1ea80	; symbol stub for: __Znwm
