name	address	section	ghidra_type	len	c_declaration	value	defined_in
PTR__S_free_list_a7b7c0e4	0xa7b7c0e4	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__S_free_list_a7b7c0e4 asm("PTR__S_free_list_a7b7c0e4");	pointer -> LD_a7b7bf94	data.s
PTR__S_force_new_a7b7c0e8	0xa7b7c0e8	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__S_force_new_a7b7c0e8 asm("PTR__S_force_new_a7b7c0e8");	pointer -> LD_a7b7c00c	data.s
PTR__S_empty_rep_storage_a7b7c0f0	0xa7b7c0f0	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__S_empty_rep_storage_a7b7c0f0 asm("PTR__S_empty_rep_storage_a7b7c0f0");	pointer -> LD_a7b7bf84	data.s
PTR_vtable_a7b7c0f4	0xa7b7c0f4	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0f4 asm("PTR_vtable_a7b7c0f4");	pointer -> __ZTV9TFunction	data.s
PTR_addressTempAllocator_a7b7c0f8	0xa7b7c0f8	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_addressTempAllocator_a7b7c0f8 asm("PTR_addressTempAllocator_a7b7c0f8");	pointer -> __ZN12ParseOperand20addressTempAllocatorE	data.s
PTR_temporaryAllocator_a7b7c0fc	0xa7b7c0fc	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_temporaryAllocator_a7b7c0fc asm("PTR_temporaryAllocator_a7b7c0fc");	pointer -> __ZN12ParseOperand18temporaryAllocatorE	data.s
PTR_DAT_a7b7c100	0xa7b7c100	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_DAT_a7b7c100 asm("PTR_DAT_a7b7c100");	pointer -> __cpu_has_altivec	data.s
PTR__InterpreterRun_a7b7c104	0xa7b7c104	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__InterpreterRun_a7b7c104 asm("PTR__InterpreterRun_a7b7c104");	pointer -> _InterpreterRun	data.s
PTR__ppstreamOpString_a7b7c108	0xa7b7c108	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__ppstreamOpString_a7b7c108 asm("PTR__ppstreamOpString_a7b7c108");	pointer -> _ppstreamOpString	data.s
PTR__underflow_error_a7b7c110	0xa7b7c110	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__underflow_error_a7b7c110 asm("PTR__underflow_error_a7b7c110");	pointer -> __ZNSt15underflow_errorD1Ev	data.s
PTR_typeinfo_a7b7c114	0xa7b7c114	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c114 asm("PTR_typeinfo_a7b7c114");	pointer -> LD_a7b7e098	data.s
PTR__overflow_error_a7b7c118	0xa7b7c118	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__overflow_error_a7b7c118 asm("PTR__overflow_error_a7b7c118");	pointer -> __ZNSt14overflow_errorD1Ev	data.s
PTR_typeinfo_a7b7c11c	0xa7b7c11c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c11c asm("PTR_typeinfo_a7b7c11c");	pointer -> LD_a7b7e08c	data.s
PTR__range_error_a7b7c120	0xa7b7c120	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__range_error_a7b7c120 asm("PTR__range_error_a7b7c120");	pointer -> __ZNSt11range_errorD1Ev	data.s
PTR_typeinfo_a7b7c124	0xa7b7c124	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c124 asm("PTR_typeinfo_a7b7c124");	pointer -> LD_a7b7e080	data.s
PTR__runtime_error_a7b7c128	0xa7b7c128	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__runtime_error_a7b7c128 asm("PTR__runtime_error_a7b7c128");	pointer -> __ZNSt13runtime_errorD1Ev	data.s
PTR_typeinfo_a7b7c12c	0xa7b7c12c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c12c asm("PTR_typeinfo_a7b7c12c");	pointer -> LD_a7b7e074	data.s
PTR__out_of_range_a7b7c130	0xa7b7c130	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__out_of_range_a7b7c130 asm("PTR__out_of_range_a7b7c130");	pointer -> __ZNSt12out_of_rangeD1Ev	data.s
PTR_typeinfo_a7b7c134	0xa7b7c134	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c134 asm("PTR_typeinfo_a7b7c134");	pointer -> LD_a7b7e068	data.s
PTR__length_error_a7b7c138	0xa7b7c138	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__length_error_a7b7c138 asm("PTR__length_error_a7b7c138");	pointer -> __ZNSt12length_errorD1Ev	data.s
PTR_typeinfo_a7b7c13c	0xa7b7c13c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c13c asm("PTR_typeinfo_a7b7c13c");	pointer -> LD_a7b7e05c	data.s
PTR__invalid_argument_a7b7c140	0xa7b7c140	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__invalid_argument_a7b7c140 asm("PTR__invalid_argument_a7b7c140");	pointer -> __ZNSt16invalid_argumentD1Ev	data.s
PTR_typeinfo_a7b7c144	0xa7b7c144	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c144 asm("PTR_typeinfo_a7b7c144");	pointer -> LD_a7b7e050	data.s
PTR__domain_error_a7b7c148	0xa7b7c148	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__domain_error_a7b7c148 asm("PTR__domain_error_a7b7c148");	pointer -> __ZNSt12domain_errorD1Ev	data.s
PTR_typeinfo_a7b7c14c	0xa7b7c14c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c14c asm("PTR_typeinfo_a7b7c14c");	pointer -> LD_a7b7e044	data.s
PTR__logic_error_a7b7c150	0xa7b7c150	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__logic_error_a7b7c150 asm("PTR__logic_error_a7b7c150");	pointer -> __ZNSt11logic_errorD1Ev	data.s
PTR_typeinfo_a7b7c154	0xa7b7c154	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c154 asm("PTR_typeinfo_a7b7c154");	pointer -> LD_a7b7e038	data.s
PTR__bad_typeid_a7b7c158	0xa7b7c158	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__bad_typeid_a7b7c158 asm("PTR__bad_typeid_a7b7c158");	pointer -> __ZNSt10bad_typeidD1Ev	data.s
PTR_typeinfo_a7b7c15c	0xa7b7c15c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c15c asm("PTR_typeinfo_a7b7c15c");	pointer -> LD_a7b7e0b0	data.s
PTR_vtable_a7b7c160	0xa7b7c160	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c160 asm("PTR_vtable_a7b7c160");	pointer -> LD_a7b7df78	data.s
PTR__bad_cast_a7b7c164	0xa7b7c164	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__bad_cast_a7b7c164 asm("PTR__bad_cast_a7b7c164");	pointer -> __ZNSt8bad_castD1Ev	data.s
PTR_typeinfo_a7b7c168	0xa7b7c168	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c168 asm("PTR_typeinfo_a7b7c168");	pointer -> LD_a7b7e0a4	data.s
PTR_vtable_a7b7c16c	0xa7b7c16c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c16c asm("PTR_vtable_a7b7c16c");	pointer -> LD_a7b7df90	data.s
PTR__bad_alloc_a7b7c170	0xa7b7c170	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__bad_alloc_a7b7c170 asm("PTR__bad_alloc_a7b7c170");	pointer -> __ZNSt9bad_allocD1Ev	data.s
PTR_typeinfo_a7b7c174	0xa7b7c174	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c174 asm("PTR_typeinfo_a7b7c174");	pointer -> LD_a7b7e02c	data.s
PTR_vtable_a7b7c178	0xa7b7c178	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c178 asm("PTR_vtable_a7b7c178");	pointer -> LD_a7b7dff8	data.s
PTR__bad_exception_a7b7c17c	0xa7b7c17c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__bad_exception_a7b7c17c asm("PTR__bad_exception_a7b7c17c");	pointer -> __ZNSt13bad_exceptionD1Ev	data.s
PTR_typeinfo_a7b7c180	0xa7b7c180	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_typeinfo_a7b7c180 asm("PTR_typeinfo_a7b7c180");	pointer -> LD_a7b7e020	data.s
PTR_vtable_a7b7c184	0xa7b7c184	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c184 asm("PTR_vtable_a7b7c184");	pointer -> LD_a7b7dfc8	data.s
PTR___terminate_handler_a7b7c188	0xa7b7c188	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR___terminate_handler_a7b7c188 asm("PTR___terminate_handler_a7b7c188");	pointer -> LD_a7b7c070	data.s
PTR___unexpected_handler_a7b7c18c	0xa7b7c18c	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR___unexpected_handler_a7b7c18c asm("PTR___unexpected_handler_a7b7c18c");	pointer -> LD_a7b7c074	data.s
PTR_DAT_a7b7c190	0xa7b7c190	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_DAT_a7b7c190 asm("PTR_DAT_a7b7c190");	pointer -> ___keymgr_global	data.s
