00005a20	116	method	DONE	__static_initialization_and_destruction_0	__Z41__static_initialization_and_destruction_0ii
00005aa0	16	stub	n/a	FUN_00005aa0	
00005ab0	60	generated	DONE	IOATIR500Accelerator::MetaClass::~MetaClass	__ZN20IOATIR500Accelerator9MetaClassD0Ev
00005aec	16	stub	n/a	FUN_00005aec	
00005b2c	16	stub	n/a	__static_initialization_and_destruction_0	
00005b6c	16	stub	n/a	__static_initialization_and_destruction_0	
00005b80	1048	method	MISSING	IOATIR500Accelerator::configureAGP	__ZN20IOATIR500Accelerator12configureAGPEP9IOService
00005fa8	16	stub	n/a	FUN_00005fa8	
00005fb8	16	stub	n/a	FUN_00005fb8	
00005fc8	16	stub	n/a	FUN_00005fc8	
00005fe0	636	method	MISSING	IOATIR500Accelerator::addToMinMaxGART	__ZN20IOATIR500Accelerator15addToMinMaxGARTEP18IOMemoryDescriptorPmmm
00006270	80	method	MISSING	IOATIR500Accelerator::flush_memory_for_in	__ZN20IOATIR500Accelerator19flush_memory_for_inEPKvm
000062c0	96	method	MISSING	IOATIR500Accelerator::flush_memory_for_out	__ZN20IOATIR500Accelerator20flush_memory_for_outEPKvm
00006320	88	method	MISSING	IOATIR500Accelerator::requestProbe	__ZN20IOATIR500Accelerator12requestProbeEm
00006380	16	stub	n/a	FUN_00006380	
00006390	16	stub	n/a	IOATIR500Accelerator::findFramebuffers	
000063a0	16	stub	n/a	FUN_000063a0	
000063b0	84	method	MISSING	IOATIR500Accelerator::garbage_collector	__ZN20IOATIR500Accelerator17garbage_collectorEP8OSObjectP22IOInterruptEventSourcei
00006404	16	stub	n/a	FUN_00006404	
00006414	16	stub	n/a	IOATIR500Accelerator::freeOrphanTexture	
00006424	16	stub	n/a	FUN_00006424	
00006440	188	method	MISSING	IOATIR500Accelerator::gart_collector	__ZN20IOATIR500Accelerator14gart_collectorEP8OSObjectP22IOInterruptEventSourcei
00006504	16	stub	n/a	FUN_00006504	
00006514	16	stub	n/a	IOATIR500Accelerator::free_gart_wirings	
