0001b540	344	MISSING	ATIRadeonX1000::removeFromPCIeGART(IOMemoryDescriptor*, unsigned long)
0001b6a0	32	MISSING	ATIRadeonX1000::removeFromGART(IOMemoryDescriptor*, unsigned long)
0001b6d0	252	MISSING	ATIRadeonX1000::reserveInGART(unsigned long)
0001b7f0	172	MISSING	ATIRadeonX1000::clearInGART(unsigned long)
0001b8a0	992	MISSING	dump_registers(ATIRadeonX1000*)
0001bd20	988	MISSING	ATIRadeonX1000::setupR520Pipes()
0001c120	2384	MISSING	ATIRadeonX1000::set_display_mode_and_vram()
0001cb00	524	MISSING	ATIRadeonX1000::stop_promo4_engine()
0001cd30	88	MISSING	ATIRadeonX1000::load_promo4_micro_code()
0001cd90	428	MISSING	ATIRadeonX1000::start_promo4_engine(unsigned long)
0001cf70	928	MISSING	ATIRadeonX1000::setup_R500_internal_space()
0001d350	284	MISSING	ATIRadeonX1000::SWDSShutdown()
0001d830	920	MISSING	ATIRadeonX1000::startupPCIeGART()
0001dc10	164	MISSING	ATIRadeonX1000::shutdownPCIeGART()
0001dcd0	168	MISSING	ATIRadeonX1000::pageOnPCIeGART()
0001dd80	576	MISSING	ATIRadeonX1000::addToPCIeGART(IOMemoryDescriptor*, unsigned long*, unsigned long, unsigned long)
0001dfd0	32	MISSING	ATIRadeonX1000::addToMinMaxGART(IOMemoryDescriptor*, unsigned long*, unsigned long, unsigned long)
0001e000	40	MISSING	ATIRadeonX1000::noop_buffer(unsigned long*)
0001e030	48	MISSING	ATIRadeonX1000::checkForConsumedIDCTTimeStamp(unsigned long)
0001e060	48	MISSING	ATIRadeonX1000::checkForRetiredTimeStamp(unsigned long)
0001e090	48	MISSING	ATIRadeonX1000::checkForTimeStamp(unsigned long)
0001e0c0	56	MISSING	ATIRadeonX1000::initialize_GUI()
0001e100	232	MISSING	ATIRadeonX1000::GPUSensorFunc(OSObject*, IOTimerEventSource*)
0001e210	204	MISSING	ATIRadeonX1000::system_did_change_speed()
0001f1e0	376	MISSING	ATIRadeonX1000::system_will_change_speed()
0001f3c0	764	MISSING	ATIRadeonX1000::initialize_hardware()
0001f750	3692	MISSING	ATIRadeonX1000::start(IOService*)
00020700	572	MISSING	ATIRadeonX1000::submit_buffer_retired(unsigned long*, unsigned long, unsigned long)
00020ce0	56	MISSING	ATIRadeonX1000::submit_commands(VendorCommandDescriptor*)
00021e30	5260	MISSING	pcl_CopyPix(unsigned long*, pcl_ParamsR500_t*, bool, bool)
00023320	4040	MISSING	ATIRadeonX1000::SWDSWriteBlitToCmdBuf(unsigned long*, unsigned long, bool, unsigned long)
00024340	708	MISSING	ATIRadeonX1000::SWDSFunc(OSObject*, IOTimerEventSource*)
