1a3000	FUN_001a3000	r5	PASS-no	1a3020 bl 0x194034
1a3000	FUN_001a3000	r6	PASS-no	1a3020 bl 0x194034
1a3000	FUN_001a3000	r7	PASS-no	1a3020 bl 0x194034
1a3000	FUN_001a3000	r8	PASS-no	1a3020 bl 0x194034
1e280	FUN_0001e280	r6	PASS-no	1e32c bl 0xb620
1e280	FUN_0001e280	r10	PASS-no	1e3dc bl 0x1db50
1f70	FUN_00001f70	r5	PASS-import	__keymgr_set_and_unlock_processwide_ptr	
1f70	FUN_00001f70	r6	PASS-import	__keymgr_set_and_unlock_processwide_ptr	
1f70	FUN_00001f70	r7	PASS-import	__keymgr_set_and_unlock_processwide_ptr	
1f70	FUN_00001f70	r8	PASS-import	__keymgr_set_and_unlock_processwide_ptr	
20f4	FUN_000020f4	r5	PASS-import	__keymgr_get_and_lock_processwide_ptr	
20f4	FUN_000020f4	r6	PASS-import	__keymgr_get_and_lock_processwide_ptr	
20f4	FUN_000020f4	r7	PASS-import	__keymgr_get_and_lock_processwide_ptr	
20f4	FUN_000020f4	r8	PASS-import	__keymgr_get_and_lock_processwide_ptr	
23a24	FUN_00023a24	r8	PASS-indirect	23ab4 bctrl 
23a8	FUN_000023a8	r6	PASS-import		
23a8	FUN_000023a8	r7	PASS-import		
23a8	FUN_000023a8	r8	PASS-import		
24190	FUN_00024190	r7	PASS-indirect	241ec bctrl 
24190	FUN_00024190	r8	PASS-indirect	241ec bctrl 
25ec0	FUN_00025ec0	r6	PASS-no	25f18 bl 0x1a3700	; symbol stub for: _calloc
25ec0	FUN_00025ec0	r7	PASS-no	25f18 bl 0x1a3700	; symbol stub for: _calloc
25ec0	FUN_00025ec0	r8	PASS-no	25f18 bl 0x1a3700	; symbol stub for: _calloc
25ec0	FUN_00025ec0	r9	PASS-no	25f18 bl 0x1a3700	; symbol stub for: _calloc
269a0	FUN_000269a0	r7	PASS-no	269d4 bl 0x1a3940	; symbol stub for: _pthread_mut
269a0	FUN_000269a0	r8	PASS-no	269d4 bl 0x1a3940	; symbol stub for: _pthread_mut
2c230	FUN_0002c230	r5	PASS-indirect	2c2f8 bl 0x90990
2c230	FUN_0002c230	r6	PASS-indirect	2c2f8 bl 0x90990
2c230	FUN_0002c230	r7	PASS-indirect	2c2f8 bl 0x90990
2c230	FUN_0002c230	r8	PASS-indirect	2c2f8 bl 0x90990
2cc30	FUN_0002cc30	r9	PASS-no	2ccd8 bl 0x2bf30
2ce40	FUN_0002ce40	r5	PASS-indirect	2cfb4 bctrl 
2ce40	FUN_0002ce40	r6	PASS-indirect	2cfb4 bctrl 
34200	FUN_00034200	r8	PASS-no	34244 bl 0x1a3940	; symbol stub for: _pthread_mut
48da0	FUN_00048da0	r4	RET	4a7cc blr 
48da0	FUN_00048da0	r5	PASS-no	48f00 bl 0x1a38e0	; symbol stub for: _realloc
48da0	FUN_00048da0	r6	PASS-no	48f00 bl 0x1a38e0	; symbol stub for: _realloc
4b480	FUN_0004b480	r5	PASS-indirect	4b4cc bctrl 
4b480	FUN_0004b480	r6	PASS-indirect	4b4cc bctrl 
4b480	FUN_0004b480	r7	PASS-indirect	4b4cc bctrl 
4b480	FUN_0004b480	r8	PASS-indirect	4b4cc bctrl 
4c560	FUN_0004c560	r6	PASS-indirect	4c5d0 bl 0x4dc30
4c560	FUN_0004c560	r7	PASS-indirect	4c5d0 bl 0x4dc30
4c560	FUN_0004c560	r8	PASS-indirect	4c5d0 bl 0x4dc30
4d100	FUN_0004d100	r5	PASS-indirect	4d314 bl 0x4ce30
4d100	FUN_0004d100	r6	PASS-indirect	4d314 bl 0x4ce30
4fd80	FUN_0004fd80	r5	PASS-indirect	4fef0 bctrl 
4fd80	FUN_0004fd80	r6	PASS-indirect	4fef0 bctrl 
4fd80	FUN_0004fd80	r7	PASS-indirect	4fef0 bctrl 
4fd80	FUN_0004fd80	r8	PASS-indirect	4fef0 bctrl 
50300	FUN_00050300	r5	PASS-indirect	50358 bctrl 
50300	FUN_00050300	r6	PASS-indirect	50358 bctrl 
50300	FUN_00050300	r7	PASS-indirect	50358 bctrl 
50300	FUN_00050300	r8	PASS-indirect	50358 bctrl 
50ef0	FUN_00050ef0	r7	PASS-indirect	50fac bctrl 
50ef0	FUN_00050ef0	r8	PASS-indirect	50fac bctrl 
53990	FUN_00053990	r5	PASS-no	539c8 bl 0xb9f10
53990	FUN_00053990	r6	PASS-indirect	539c8 bl 0xb9f10
53990	FUN_00053990	r7	PASS-no	539c8 bl 0xb9f10
53990	FUN_00053990	r8	PASS-no	539c8 bl 0xb9f10
546d0	FUN_000546d0	r6	PASS-indirect	54704 bctrl 
546d0	FUN_000546d0	r7	PASS-indirect	54704 bctrl 
546d0	FUN_000546d0	r8	PASS-indirect	54704 bctrl 
5f810	FUN_0005f810	r5	PASS-no	5f878 bl 0x5e7f0
5f810	FUN_0005f810	r6	PASS-no	5f878 bl 0x5e7f0
5f810	FUN_0005f810	r7	PASS-no	5f878 bl 0x5e7f0
5f810	FUN_0005f810	r8	PASS-no	5f878 bl 0x5e7f0
64720	FUN_00064720	r5	PASS-indirect	64830 bctrl 
64720	FUN_00064720	r6	PASS-indirect	64830 bctrl 
64720	FUN_00064720	r7	PASS-indirect	64830 bctrl 
64a10	FUN_00064a10	r5	PASS-indirect	64d64 bctrl 
64a10	FUN_00064a10	r6	PASS-indirect	64d64 bctrl 
64a10	FUN_00064a10	r7	PASS-indirect	64d64 bctrl 
64a10	FUN_00064a10	r8	PASS-indirect	64d64 bctrl 
